Unnamed: 0,BattleName,URL,StartDate,EndDate,Location,Outcome,Belligerents_Right,Belligerents_Left,Strength_Right,Strength_Left,Casualties and losses_Right,Casualties and losses_Left,StartDate_clean,EndDate_clean,casualties_dict_right,casualties_dict_left,strength_dict_right,strength_dict_left
0,Battle of the Crna Bend (1917),https://en.wikipedia.org/wiki/Battle_of_the_Cerna_Bend_(1917),5,9-May-17,Crna Loop,Central Powers victory,"Bulgaria
 Germany","France
 Italy
 Russia","Central Powers:[1]
 27 battalions
19 batteries
115 machine guns
 13 battalions
15 batteries
131 machine guns
Total: 40 battalions
34 batteries (122 guns, 8 mortars)
246 machine guns","Allies:[1]
 45 battalions
54 batteries
312 machine guns
 18 battalions
32 batteries
171 machine guns
 6 battalions
14 batteries
32 machine guns
Total: 69 battalions
100 batteries (412 guns)
515 machine guns","1,626
 Unknown","1,700
 2,400
 1,325
Total: 5,425",5/5/1917,5/9/1917,{'unknown': [1626.0]},"{'total': [1325.0, 1325.0]}","{'total': [40.0], 'battalions': [27.0, 13.0, 40.0], 'batteries': [19.0, 15.0, 34.0], 'machine': [115.0, 131.0, 246.0], 'guns': [122.0], 'mortars': [8.0]}","{'total': [69.0], 'battalions': [45.0, 18.0, 6.0, 69.0], 'batteries': [54.0, 32.0, 14.0, 100.0], 'machine': [312.0, 171.0, 32.0, 515.0], 'guns': [412.0]}"
1,First Battle of Champagne,https://en.wikipedia.org/wiki/First_Battle_of_Champagne,20-Dec-14,17-Mar-15,"Champagne-Ardenne, France49°11′04″N 04°32′39″E﻿ / ﻿49.18444°N 4.54417°E﻿ / 49.18444; 4.54417",Inconclusive,France,German Empire,Fourth Army,3rd Army,"93,432","46,100",12/20/1914,3/17/1915,{},{},{},{}
2,Battle of Transylvania,https://en.wikipedia.org/wiki/Battle_of_Transylvania,27-Aug,16-Oct-16,"Transylvania, Austria-Hungary (today in Romania)","Central Powers victory  Full results Romanian invasion repulsedSuccessful Romanian retreat (Central Powers failure to destroy any of the three Romanian armies)Erich von Falkenhayn replaced as Chief of Staff of the Imperial German ArmyGerman offensive at Verdun halted, as well as German offensives on other frontsCentral Powers invasion of DobrujaAssumption of supreme military command of the Central Powers by the German emperor",Kingdom of Romania,Austria-Hungary German Empire,"27 August:369,000[1]18 September:Less than the Central Powers[2]","27 August:34,000[3]18 September:>200,000[4]",Unknown,Unknown,8/27/1916,10/16/1916,{},{},{},{}
3,Battle of Soissons (1918),https://en.wikipedia.org/wiki/Battle_of_Soissons_(1918),18,22-Jul-18,Northeastern France49°22′54″N 3°19′25″E﻿ / ﻿49.3817°N 3.3236°E﻿ / 49.3817; 3.3236,Allied victory,"France
 United States
 United Kingdom",German Empire,"At least 345,000 men, 478 tanks","At least 234,000 men, 210 aircraft","95,000 casualties[1]
 13,000 casualties[1]
 11,259 casualties[2]","168,000 casualties[3]",7/18/1918,7/22/1918,"{'casualties': [95000.0, 13000.0, 11259.0]}",{'casualties': [168000.0]},"{'troops': [345000.0], 'tanks': [478.0]}","{'troops': [234000.0], 'aircraft': [210.0]}"
4,Battle of Istabulat,https://en.wikipedia.org/wiki/Battle_of_Istabulat,21-Apr-17,21-Apr-17,"Istabulat, Iraq",British–Indian victory,"British Empire

 India
 United Kingdom",Ottoman Empire,"45,000 Men (theater)","10,000 Men","~ 2,000","~ 2,000",4/21/1917,4/21/1917,{},{},{'troops': [45000.0]},{'troops': [10000.0]}
5,First Battle of Petrozsény,https://en.wikipedia.org/wiki/First_Battle_of_Petrozs%C3%A9ny,17,22-Sep-16,"Petrozsény and the surrounding area, Transylvania, Austria-Hungary (today Petroșani, Romania)",German victory,Romania,German Empire,,,"Unknown, but heavyVulcan Pass (21-22 September):526 prisoners",Unknown,9/17/1916,9/22/1916,"{'september': [22.0], 'prisoners': [526.0]}",{},{},{}
6,Second Battle of Gaza,https://en.wikipedia.org/wiki/Second_Battle_of_Gaza,17,19 April 1917(2 days),"Gaza, southern Palestine",Ottoman victory,"British Empire

 United Kingdom
 Canada
 Australia
 New Zealand
  France","Ottoman Empire

 German Empire (military commanders & air force)",,,"509 killed,4,359 wounded,1,534 missingTotal: 6,444 & 3 tanks","82–402 killed,1,337–1,364 wounded,247 missing,200 prisoners",4/17/1917,4/19/1917,"{'total': [6444.0], 'killed': [509.0], 'wounded': [4359.0], 'missingtotal': [1534.0], 'tanks': [3.0]}","{'killed': [402.0], 'wounded': [1364.0], 'missing': [247.0], 'prisoners': [200.0]}",{},{}
7,Third Battle of Krithia,https://en.wikipedia.org/wiki/Third_Battle_of_Krithia,4-Jun-15,4-Jun-15,"Helles, Gallipoli, Adrianople Vilayet, Ottoman Empire",Ottoman victory,"British Empire

 India
 United Kingdom
 France",Ottoman Empire,"30,000 (20,000 in the first wave)[1]","18,600[2]–28,000, 86 guns and howitzers[3]","4,500[4]","3,000 killed[5]",6/4/1915,6/4/1915,{},{'killed': [3000.0]},{'troops': [20000.0]},{'guns': [86.0]}
8,Battle of Łódź (1914),https://en.wikipedia.org/wiki/Battle_of_%C5%81%C3%B3d%C5%BA_(1914),11-Nov,6 December 1914(3 weeks and 4 days),"Łódź, Congress Poland, Russian Empire",Russian victory[1][a][b][4][5][c]   Full results German plan of encirclement and destruction failed[7]Planned Russian invasion of Silesia failed[8],German Empire Austria-Hungary,"Russian Empire

 Congress Poland","279,000[9][e]–380,000[f][14] infantry and cavalry (entire group), 1,420–1,440 guns, 700 machine guns[13]","367,000 combat troops 1,305–1,311 guns740 machine guns[15]","Total: 160,000[16][14] including 36,000 KIA[g] 23,000 POWs23 cannons[19][h]","110,000[14] to 316,000 total casualties[i]",11/11/1914,12/6/1914,"{'total': [160000.0], 'kia': [36000.0], 'pows': [23000.0], 'cannons': [23.0]}","{'total': [316000.0, 316000.0], 'to': [110000.0]}","{'infantry': [279000.0, 380000.0], 'guns': [1420.0, 1440.0], 'machine': [700.0]}","{'combat': [367000.0], 'guns': [1305.0, 1311.0], 'machine': [740.0]}"
9,Battle of the Avre,https://en.wikipedia.org/wiki/Battle_of_the_Avre,4,5-Apr-18,"The Avre, Amiens49°53′00″N 02°20′25″E﻿ / ﻿49.88333°N 2.34028°E﻿ / 49.88333; 2.34028",British victory,"British Empire

 Australia
 United Kingdom of Great Britain and Ireland",German Empire,,,,,4/4/1918,4/5/1918,{},{},{},{}
10,Battle of Segale,https://en.wikipedia.org/wiki/Battle_of_Segale,27 October 1916; 108 years ago (1916-10-27),27 October 1916; 108 years ago (1916-10-27),"Segale, 40 miles north of Addis Ababa","Zewditu loyalist victory   Lij Iyasu's chief supporter crushed, removing his ability to keep the Imperial throne",Loyalists to Zewditu[1],Loyalists to Lij Iyasu,"120,000[citation needed]","80,000[citation needed]",,,10/27/1916,10/27/1916,{},{},{'troops': [120000.0]},{'troops': [80000.0]}
